178914.468 WINDOWS source_ref=88C22014 provenance=LOCAL deployment=MCL-REFERENCE-DEPLOYMENT-1
178914.469 WINDOWS dll_sha256=9e94ef1a60316e816edbd60c35dfd009b6b71e062fd24c9a79232333e568bf7b
178914.659 WINDOWS AUDIO input_latency=0.08533333333333333 device=Microphone Array (Realtek(R) Audio)
178914.659 WINDOWS MACHINE start status=0 input=18 output=14
178916.167 WINDOWS AP TX bytes=10 hex=100288c220140000013c samples=57600
178926.067 WINDOWS AP TX bytes=10 hex=100288c220140000013c samples=57600
178935.951 WINDOWS AP TX bytes=10 hex=100288c220140000013c samples=57600
178944.098 WINDOWS AP TX bytes=10 hex=100288c220140000013c samples=57600
178954.494 WINDOWS AP TX bytes=10 hex=100288c220140000013c samples=57600
178961.899 WINDOWS AP TX bytes=10 hex=100288c220140000013c samples=57600
178972.035 WINDOWS AP TX bytes=10 hex=100288c220140000013c samples=57600
178979.926 WINDOWS AP TX bytes=10 hex=100288c220140000013c samples=57600
178990.328 WINDOWS AP TX bytes=10 hex=100288c220140000013c samples=57600
179000.484 WINDOWS AP TX bytes=10 hex=100288c220140000013c samples=57600
179034.674 WINDOWS RESULT state=IDLE established=0 audio_drops=0 fragment_rejections=0 max_audio_queue_ms=1392.3
