179065.918 WINDOWS source_ref=DE13F9CD provenance=LOCAL deployment=MCL-REFERENCE-DEPLOYMENT-1
179065.919 WINDOWS dll_sha256=9e94ef1a60316e816edbd60c35dfd009b6b71e062fd24c9a79232333e568bf7b
179065.953 WINDOWS AUDIO input_latency=0.08533333333333333 device=Microphone Array (Realtek(R) Audio)
179065.953 WINDOWS MACHINE start status=0 input=18 output=14
179065.954 WINDOWS AP TX bytes=10 hex=1002de13f9cd0000013c samples=57600
179075.121 WINDOWS AP TX bytes=10 hex=1002de13f9cd0000013c samples=57600
179084.270 WINDOWS AP TX bytes=10 hex=1002de13f9cd0000013c samples=57600
179095.419 WINDOWS AP TX bytes=10 hex=1002de13f9cd0000013c samples=57600
179102.825 WINDOWS AP TX bytes=10 hex=1002de13f9cd0000013c samples=57600
179116.229 WINDOWS AP TX bytes=10 hex=1002de13f9cd0000013c samples=57600
179125.364 WINDOWS AP TX bytes=10 hex=1002de13f9cd0000013c samples=57600
179135.768 WINDOWS AP TX bytes=10 hex=1002de13f9cd0000013c samples=57600
179146.417 WINDOWS AP TX bytes=10 hex=1002de13f9cd0000013c samples=57600
179155.812 WINDOWS AP TX bytes=10 hex=1002de13f9cd0000013c samples=57600
179182.968 WINDOWS RESULT state=IDLE established=0 audio_drops=0 fragment_rejections=0 max_audio_queue_ms=1397.2
